PID                 User                Group               
1                   root                root                
2                   root                root                
3                   root                root                
4                   root                root                
6                   root                root                
8                   root                root                
9                   root                root                
10                  root                root                
11                  root                root                
12                  root                root                
14                  root                root                
15                  root                root                
16                  root                root                
17                  root                root                
18                  root                root                
19                  root                root                
20                  root                root                
21                  root                root                
22                  root                root                
23                  root                root                
24                  root                root                
70                  root                root                
71                  root                root                
72                  root                root                
73                  root                root                
74                  root                root                
75                  root                root                
76                  root                root                
77                  root                root                
78                  root                root                
80                  root                root                
81                  root                root                
83                  root                root                
84                  root                root                
85                  root                root                
86                  root                root                
87                  root                root                
88                  root                root                
89                  root                root                
91                  root                root                
93                  root                root                
102                 root                root                
105                 root                root                
118                 root                root                
152                 root                root                
197                 root                root                
240                 root                root                
241                 root                root                
276                 root                root                
314                 root                root                
338                 root                root                
368                 root                root                
502                 root                root                
503                 root                root                
504                 root                root                
505                 root                root                
506                 root                root                
519                 root                root                
520                 root                root                
521                 root                root                
525                 root                root                
540                 systemd-timesync    systemd-timesync    
597                 systemd-network     systemd-network     
599                 systemd-resolve     systemd-resolve     
634                 root                root                
637                 root                root                
639                 messagebus          messagebus          
646                 root                root                
647                 root                root                
648                 root                root                
649                 syslog              syslog              
653                 root                root                
655                 root                root                
658                 daemon              daemon              
668                 root                root                
669                 root                root                
671                 root                root                
690                 root                root                
705                 root                root                
724                 root                root                
80594               root                root                
80600               root                root                
144376              root                root                
144415              root                root                
552745              root                root                
552879              root                root                
552888              21is8               sysops              
552889              root                root                
552893              21is8               sysops              
552998              21is8               sysops              
552999              21is8               sysops              
553049              21is8               sysops              
553059              21is8               sysops              
553135              root                root                
553136              21is8               sysops              
553147              21is8               sysops              
553163              21is8               sysops              
553262              21is8               sysops              
558077              root                root                
560163              root                root                
566421              21is8               sysops              
568549              21is8               sysops              
