PID                 User                Group               RSS                 Command
1                   root                root                10408               systemd             
2                   root                root                0                   kthreadd            
3                   root                root                0                   rcu_gp              
4                   root                root                0                   rcu_par_gp          
6                   root                root                0                   kworker/0:0H-kblockd
8                   root                root                0                   mm_percpu_wq        
9                   root                root                0                   ksoftirqd/0         
10                  root                root                0                   rcu_sched           
11                  root                root                0                   migration/0         
12                  root                root                0                   idle_inject/0       
14                  root                root                0                   cpuhp/0             
15                  root                root                0                   kdevtmpfs           
16                  root                root                0                   netns               
17                  root                root                0                   rcu_tasks_kthre     
18                  root                root                0                   kauditd             
19                  root                root                0                   khungtaskd          
20                  root                root                0                   oom_reaper          
21                  root                root                0                   writeback           
22                  root                root                0                   kcompactd0          
23                  root                root                0                   ksmd                
24                  root                root                0                   khugepaged          
70                  root                root                0                   kintegrityd         
71                  root                root                0                   kblockd             
72                  root                root                0                   blkcg_punt_bio      
73                  root                root                0                   tpm_dev_wq          
74                  root                root                0                   ata_sff             
75                  root                root                0                   md                  
76                  root                root                0                   edac-poller         
77                  root                root                0                   devfreq_wq          
78                  root                root                0                   watchdogd           
80                  root                root                0                   kswapd0             
81                  root                root                0                   ecryptfs-kthrea     
83                  root                root                0                   kthrotld            
84                  root                root                0                   acpi_thermal_pm     
85                  root                root                0                   khvcd               
86                  root                root                0                   scsi_eh_0           
87                  root                root                0                   scsi_tmf_0          
88                  root                root                0                   scsi_eh_1           
89                  root                root                0                   scsi_tmf_1          
91                  root                root                0                   vfio-irqfd-clea     
93                  root                root                0                   ipv6_addrconf       
102                 root                root                0                   kstrp               
105                 root                root                0                   kworker/u3:0        
118                 root                root                0                   charger_manager     
152                 root                root                0                   kworker/0:1H-kblockd
197                 root                root                0                   raid5wq             
240                 root                root                0                   jbd2/vda1-8         
241                 root                root                0                   ext4-rsv-conver     
276                 root                root                0                   hwrng               
314                 root                root                14456               systemd-journal     
338                 root                root                572                 none                
368                 root                root                4780                systemd-udevd       
502                 root                root                0                   kaluad              
503                 root                root                0                   kmpath_rdacd        
504                 root                root                0                   kmpathd             
505                 root                root                0                   kmpath_handlerd     
506                 root                root                18000               multipathd          
519                 root                root                0                   loop0               
520                 root                root                0                   loop1               
521                 root                root                0                   loop2               
525                 root                root                0                   loop4               
540                 systemd-timesync    systemd-timesync    3792                systemd-timesyn     
597                 systemd-network     systemd-network     3832                systemd-network     
599                 systemd-resolve     systemd-resolve     8252                systemd-resolve     
634                 root                root                3940                accounts-daemon     
637                 root                root                2316                cron                
639                 messagebus          messagebus          4264                dbus-daemon         
646                 root                root                11124               networkd-dispat     
647                 root                root                1916                polkitd             
648                 root                root                2408                qemu-ga             
649                 syslog              syslog              3556                rsyslogd            
653                 root                root                5580                systemd-logind      
655                 root                root                5880                udisksd             
658                 daemon              daemon              2012                atd                 
668                 root                root                1808                agetty              
669                 root                root                1720                agetty              
671                 root                root                1596                agetty              
690                 root                root                3920                sshd                
705                 root                root                5340                ModemManager        
724                 root                root                10552               unattended-upgr     
80594               root                root                0                   xfsalloc            
80600               root                root                0                   xfs_mru_cache       
144376              root                root                0                   loop5               
144415              root                root                20140               snapd               
552745              root                root                0                   kworker/0:2-events  
552879              root                root                8308                sshd                
552888              21is8               sysops              8308                systemd             
552889              root                root                0                   kworker/0:0-cgroup_destroy
552893              21is8               sysops              4800                (sd-pam)            
552998              21is8               sysops              5888                sshd                
552999              21is8               sysops              2848                bash                
553049              21is8               sysops              476                 sh                  
553059              21is8               sysops              98032               node                
553135              root                root                0                   kworker/u2:0-events_power_efficient
553136              21is8               sysops              262744              node                
553147              21is8               sysops              63544               node                
553163              21is8               sysops              50644               node                
553262              21is8               sysops              5208                bash                
572660              root                root                0                   kworker/u2:2-flush-252:0
579575              root                root                0                   kworker/u2:1-events_power_efficient
583849              21is8               sysops              580                 sleep               
583948              root                root                80928               fwupd               
584789              root                root                0                   kworker/0:1-events  
586310              21is8               sysops              3320                ps.sh               
